OldName,NewNamespace,toolkit
BRepAdaptor_CompCurve,model::adapter,TKBRep
BRepAdaptor_Curve,model::adapter,TKBRep
BRepAdaptor_Curve2d,model::adapter,TKBRep
BRepAdaptor_Surface,model::adapter,TKBRep
BRepLProp,model::localproperties,TKBRep
BRepLProp_CLProps,model::localproperties,TKBRep
BRepLProp_CurveTool,model::localproperties,TKBRep
BRepLProp_SLProps,model::localproperties,TKBRep
BRepLProp_SurfaceTool,model::localproperties,TKBRep
BRepTools,model::utils,TKBRep
BRepTools_CopyModification,model::utils,TKBRep
BRepTools_GTrsfModification,model::utils,TKBRep
BRepTools_History,model::utils,TKBRep
BRepTools_Modification,model::utils,TKBRep
BRepTools_Modifier,model::utils,TKBRep
BRepTools_NurbsConvertModification,model::utils,TKBRep
BRepTools_PurgeLocations,model::utils,TKBRep
BRepTools_Quilt,model::utils,TKBRep
BRepTools_ReShape,model::utils,TKBRep
BRepTools_ShapeSet,model::utils,TKBRep
BRepTools_Substitution,model::utils,TKBRep
BRepTools_TrsfModification,model::utils,TKBRep
BRepTools_WireExplorer,model::utils,TKBRep
BRep_Builder,model,TKBRep
BRep_Curve3D,model,TKBRep
BRep_CurveOn2Surfaces,model,TKBRep
BRep_CurveOnClosedSurface,model,TKBRep
BRep_CurveOnSurface,model,TKBRep
BRep_CurveRepresentation,model,TKBRep
BRep_GCurve,model,TKBRep
BRep_PointOnCurve,model,TKBRep
BRep_PointOnCurveOnSurface,model,TKBRep
BRep_PointOnSurface,model,TKBRep
BRep_PointRepresentation,model,TKBRep
BRep_PointsOnSurface,model,TKBRep
BRep_Polygon3D,model,TKBRep
BRep_PolygonOnClosedSurface,model,TKBRep
BRep_PolygonOnClosedTriangulation,model,TKBRep
BRep_PolygonOnSurface,model,TKBRep
BRep_PolygonOnTriangulation,model,TKBRep
BRep_TEdge,model,TKBRep
BRep_TFace,model,TKBRep
BRep_TVertex,model,TKBRep
BRep_Tool,model,TKBRep
BinTools,app::storage::binary::tools,TKBRep
BinTools_Curve2dSet,app::storage::binary::tools,TKBRep
BinTools_CurveSet,app::storage::binary::tools,TKBRep
BinTools_IStream,app::storage::binary::tools,TKBRep
BinTools_LocationSet,app::storage::binary::tools,TKBRep
BinTools_OStream,app::storage::binary::tools,TKBRep
BinTools_ShapeReader,app::storage::binary::tools,TKBRep
BinTools_ShapeSet,app::storage::binary::tools,TKBRep
BinTools_ShapeSetBase,app::storage::binary::tools,TKBRep
BinTools_ShapeWriter,app::storage::binary::tools,TKBRep
BinTools_SurfaceSet,app::storage::binary::tools,TKBRep
TopExp,topology::explorer,TKBRep
TopExp_Explorer,topology::explorer,TKBRep
TopTools,topology::utils,TKBRep
TopTools_LocationSet,topology::utils,TKBRep
TopTools_ShapeMapHasher,topology::utils,TKBRep
TopTools_ShapeSet,topology::utils,TKBRep
TopoDS_AlertAttribute,topology,TKBRep
TopoDS_AlertWithShape,topology,TKBRep
TopoDS_Builder,topology,TKBRep
TopoDS_CompSolid,topology,TKBRep
TopoDS_Compound,topology,TKBRep
TopoDS_Edge,topology,TKBRep
TopoDS_Face,topology,TKBRep
TopoDS_FrozenShape,topology,TKBRep
TopoDS_HShape,topology,TKBRep
TopoDS_Iterator,topology,TKBRep
TopoDS_LockedShape,topology,TKBRep
TopoDS_Shape,topology,TKBRep
TopoDS_Shell,topology,TKBRep
TopoDS_Solid,topology,TKBRep
TopoDS_TCompSolid,topology,TKBRep
TopoDS_TCompound,topology,TKBRep
TopoDS_TEdge,topology,TKBRep
TopoDS_TFace,topology,TKBRep
TopoDS_TShape,topology,TKBRep
TopoDS_TShell,topology,TKBRep
TopoDS_TSolid,topology,TKBRep
TopoDS_TVertex,topology,TKBRep
TopoDS_TWire,topology,TKBRep
TopoDS_UnCompatibleShapes,topology,TKBRep
TopoDS_Vertex,topology,TKBRep
TopoDS_Wire,topology,TKBRep
BinDrivers,app::storage::binary::drivers,TKBin
BinDrivers_DocumentRetrievalDriver,app::storage::binary::drivers,TKBin
BinDrivers_DocumentStorageDriver,app::storage::binary::drivers,TKBin
BinMDataXtd,app::storage::binary::dataxtd,TKBin
BinMDataXtd_ConstraintDriver,app::storage::binary::dataxtd,TKBin
BinMDataXtd_GeometryDriver,app::storage::binary::dataxtd,TKBin
BinMDataXtd_PatternStdDriver,app::storage::binary::dataxtd,TKBin
BinMDataXtd_PositionDriver,app::storage::binary::dataxtd,TKBin
BinMDataXtd_PresentationDriver,app::storage::binary::dataxtd,TKBin
BinMDataXtd_TriangulationDriver,app::storage::binary::dataxtd,TKBin
BinMNaming,app::storage::binary::naming,TKBin
BinMNaming_NamedShapeDriver,app::storage::binary::naming,TKBin
BinMNaming_NamingDriver,app::storage::binary::naming,TKBin
BinLDrivers,app::storage::binary::litedrivers,TKBinL
BinLDrivers_DocumentRetrievalDriver,app::storage::binary::litedrivers,TKBinL
BinLDrivers_DocumentSection,app::storage::binary::litedrivers,TKBinL
BinLDrivers_DocumentStorageDriver,app::storage::binary::litedrivers,TKBinL
BinMDF,app::storage::binary::mdf,TKBinL
BinMDF_ADriver,app::storage::binary::mdf,TKBinL
BinMDF_ADriverTable,app::storage::binary::mdf,TKBinL
BinMDF_DerivedDriver,app::storage::binary::mdf,TKBinL
BinMDF_ReferenceDriver,app::storage::binary::mdf,TKBinL
BinMDF_TagSourceDriver,app::storage::binary::mdf,TKBinL
BinMDataStd,app::storage::binary::datastd,TKBinL
BinMDataStd_AsciiStringDriver,app::storage::binary::datastd,TKBinL
BinMDataStd_BooleanArrayDriver,app::storage::binary::datastd,TKBinL
BinMDataStd_BooleanListDriver,app::storage::binary::datastd,TKBinL
BinMDataStd_ByteArrayDriver,app::storage::binary::datastd,TKBinL
BinMDataStd_ExpressionDriver,app::storage::binary::datastd,TKBinL
BinMDataStd_ExtStringArrayDriver,app::storage::binary::datastd,TKBinL
BinMDataStd_ExtStringListDriver,app::storage::binary::datastd,TKBinL
BinMDataStd_GenericEmptyDriver,app::storage::binary::datastd,TKBinL
BinMDataStd_GenericExtStringDriver,app::storage::binary::datastd,TKBinL
BinMDataStd_IntPackedMapDriver,app::storage::binary::datastd,TKBinL
BinMDataStd_IntegerArrayDriver,app::storage::binary::datastd,TKBinL
BinMDataStd_IntegerDriver,app::storage::binary::datastd,TKBinL
BinMDataStd_IntegerListDriver,app::storage::binary::datastd,TKBinL
BinMDataStd_NamedDataDriver,app::storage::binary::datastd,TKBinL
BinMDataStd_RealArrayDriver,app::storage::binary::datastd,TKBinL
BinMDataStd_RealDriver,app::storage::binary::datastd,TKBinL
BinMDataStd_RealListDriver,app::storage::binary::datastd,TKBinL
BinMDataStd_ReferenceArrayDriver,app::storage::binary::datastd,TKBinL
BinMDataStd_ReferenceListDriver,app::storage::binary::datastd,TKBinL
BinMDataStd_TreeNodeDriver,app::storage::binary::datastd,TKBinL
BinMDataStd_UAttributeDriver,app::storage::binary::datastd,TKBinL
BinMDataStd_VariableDriver,app::storage::binary::datastd,TKBinL
BinMDocStd,app::storage::binary::docstd,TKBinL
BinMDocStd_XLinkDriver,app::storage::binary::docstd,TKBinL
BinMFunction,app::storage::binary::function,TKBinL
BinMFunction_FunctionDriver,app::storage::binary::function,TKBinL
BinMFunction_GraphNodeDriver,app::storage::binary::function,TKBinL
BinMFunction_ScopeDriver,app::storage::binary::function,TKBinL
BinObjMgt_Persistent,app::storage::binary::management,TKBinL
BinObjMgt_Position,app::storage::binary::management,TKBinL
BinObjMgt_RRelocationTable,app::storage::binary::management,TKBinL
BinTObjDrivers,app::storage::binary::tobj,TKBinTObj
BinTObjDrivers_DocumentRetrievalDriver,app::storage::binary::tobj,TKBinTObj
BinTObjDrivers_DocumentStorageDriver,app::storage::binary::tobj,TKBinTObj
BinTObjDrivers_IntSparseArrayDriver,app::storage::binary::tobj,TKBinTObj
BinTObjDrivers_ModelDriver,app::storage::binary::tobj,TKBinTObj
BinTObjDrivers_ObjectDriver,app::storage::binary::tobj,TKBinTObj
BinTObjDrivers_ReferenceDriver,app::storage::binary::tobj,TKBinTObj
BinTObjDrivers_XYZDriver,app::storage::binary::tobj,TKBinTObj
BinMXCAFDoc,app::storage::binary::xcaf,TKBinXCAF
BinMXCAFDoc_AssemblyItemRefDriver,app::storage::binary::xcaf,TKBinXCAF
BinMXCAFDoc_CentroidDriver,app::storage::binary::xcaf,TKBinXCAF
BinMXCAFDoc_ColorDriver,app::storage::binary::xcaf,TKBinXCAF
BinMXCAFDoc_DatumDriver,app::storage::binary::xcaf,TKBinXCAF
BinMXCAFDoc_DimTolDriver,app::storage::binary::xcaf,TKBinXCAF
BinMXCAFDoc_GraphNodeDriver,app::storage::binary::xcaf,TKBinXCAF
BinMXCAFDoc_LengthUnitDriver,app::storage::binary::xcaf,TKBinXCAF
BinMXCAFDoc_LocationDriver,app::storage::binary::xcaf,TKBinXCAF
BinMXCAFDoc_MaterialDriver,app::storage::binary::xcaf,TKBinXCAF
BinMXCAFDoc_NoteBinDataDriver,app::storage::binary::xcaf,TKBinXCAF
BinMXCAFDoc_NoteCommentDriver,app::storage::binary::xcaf,TKBinXCAF
BinMXCAFDoc_NoteDriver,app::storage::binary::xcaf,TKBinXCAF
BinMXCAFDoc_VisMaterialDriver,app::storage::binary::xcaf,TKBinXCAF
BinMXCAFDoc_VisMaterialToolDriver,app::storage::binary::xcaf,TKBinXCAF
BinXCAFDrivers,app::storage::binary::xcaf::drivers,TKBinXCAF
BinXCAFDrivers_DocumentRetrievalDriver,app::storage::binary::xcaf::drivers,TKBinXCAF
BinXCAFDrivers_DocumentStorageDriver,app::storage::binary::xcaf::drivers,TKBinXCAF
BRepAlgo,algorithm::brep::legacy,TKBool
BRepAlgo_AsDes,algorithm::brep::legacy,TKBool
BRepAlgo_FaceRestrictor,algorithm::brep::legacy,TKBool
BRepAlgo_Image,algorithm::brep::legacy,TKBool
BRepAlgo_Loop,algorithm::brep::legacy,TKBool
BRepAlgo_NormalProjection,algorithm::brep::legacy,TKBool
BRepFill,algorithm::filling,TKBool
BRepFill_ACRLaw,algorithm::filling,TKBool
