Old Name,New Name,Old Path,New Path
BinMDF_ADriver.lxx,BinMDF_ADriver_1.hpp,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKBinL\BinMDF\BinMDF_ADriver.lxx,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKBinL\BinMDF\BinMDF_ADriver_1.hpp
BinMDF_ADriverTable.lxx,BinMDF_ADriverTable_1.hpp,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKBinL\BinMDF\BinMDF_ADriverTable.lxx,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKBinL\BinMDF\BinMDF_ADriverTable_1.hpp
BinObjMgt_Persistent.lxx,BinObjMgt_Persistent_1.hpp,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKBinL\BinObjMgt\BinObjMgt_Persistent.lxx,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKBinL\BinObjMgt\BinObjMgt_Persistent_1.hpp
BinMNaming_NamedShapeDriver.lxx,BinMNaming_NamedShapeDriver_1.hpp,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKBin\BinMNaming\BinMNaming_NamedShapeDriver.lxx,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKBin\BinMNaming\BinMNaming_NamedShapeDriver_1.hpp
TDataXtd_PatternStd.lxx,TDataXtd_PatternStd_1.hpp,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKCAF\TDataXtd\TDataXtd_PatternStd.lxx,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKCAF\TDataXtd\TDataXtd_PatternStd_1.hpp
TNaming_Iterator.lxx,TNaming_Iterator_1.hpp,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKCAF\TNaming\TNaming_Iterator.lxx,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKCAF\TNaming\TNaming_Iterator_1.hpp
TNaming_IteratorOnShapesSet.lxx,TNaming_IteratorOnShapesSet_1.hpp,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKCAF\TNaming\TNaming_IteratorOnShapesSet.lxx,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKCAF\TNaming\TNaming_IteratorOnShapesSet_1.hpp
TNaming_NamedShape.lxx,TNaming_NamedShape_1.hpp,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKCAF\TNaming\TNaming_NamedShape.lxx,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKCAF\TNaming\TNaming_NamedShape_1.hpp
TNaming_NewShapeIterator.lxx,TNaming_NewShapeIterator_1.hpp,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKCAF\TNaming\TNaming_NewShapeIterator.lxx,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKCAF\TNaming\TNaming_NewShapeIterator_1.hpp
TNaming_OldShapeIterator.lxx,TNaming_OldShapeIterator_1.hpp,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKCAF\TNaming\TNaming_OldShapeIterator.lxx,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKCAF\TNaming\TNaming_OldShapeIterator_1.hpp
